team,wins,losses,win_pct,ppg,opp_ppg,point_diff
North Carolina A&T Aggies,3,8,0.2727272727272727,72.45454545454545,80.63636363636364,-8.181818181818182
Western Carolina Catamounts,2,6,0.25,68.625,81.125,-12.5
Jacksonville State Gamecocks,6,7,0.46153846153846156,72.61538461538461,68.53846153846153,4.076923076923077
Campbell Fighting Camels,4,3,0.5714285714285714,73.57142857142857,67.42857142857143,6.142857142857143
Seattle U Redhawks,6,9,0.4,73.2,71.33333333333333,1.8666666666666667
Stetson Hatters,4,5,0.4444444444444444,69.11111111111111,73.66666666666667,-4.555555555555555
UCF Knights,10,26,0.2777777777777778,66.47222222222223,72.58333333333333,-6.111111111111111
Mercer Bears,5,4,0.5555555555555556,73.55555555555556,67.55555555555556,6.0
Tennessee Tech Golden Eagles,4,6,0.4,65.1,75.0,-9.9
Cleveland State Vikings,11,8,0.5789473684210527,75.63157894736842,73.84210526315789,1.7894736842105263
New Hampshire Wildcats,4,5,0.4444444444444444,72.22222222222223,72.55555555555556,-0.3333333333333333
UMBC Retrievers,5,5,0.5,73.8,73.0,0.8
Eastern Michigan Eagles,3,11,0.21428571428571427,66.64285714285714,80.64285714285714,-14.0
UC Irvine Anteaters,10,7,0.5882352941176471,70.82352941176471,66.3529411764706,4.470588235294118
Incarnate Word Cardinals,4,12,0.25,66.4375,76.5625,-10.125
Rice Owls,10,14,0.4166666666666667,71.04166666666667,74.375,-3.3333333333333335
Montana State Bobcats,10,6,0.625,73.875,73.0,0.875
Little Rock Trojans,4,6,0.4,69.9,72.0,-2.1
Kennesaw State Owls,3,9,0.25,67.83333333333333,78.16666666666667,-10.333333333333334
Coastal Carolina Chanticleers,2,4,0.3333333333333333,70.83333333333333,73.0,-2.1666666666666665
Bellarmine Knights,7,7,0.5,68.71428571428571,69.07142857142857,-0.35714285714285715
IU Indianapolis Jaguars,3,13,0.1875,63.125,75.1875,-12.0625
Louisiana Ragin' Cajuns,3,8,0.2727272727272727,69.54545454545455,77.54545454545455,-8.0
UL Monroe Warhawks,2,7,0.2222222222222222,65.44444444444444,74.0,-8.555555555555555
Louisiana Tech Bulldogs,9,7,0.5625,65.125,67.4375,-2.3125
UC Santa Barbara Gauchos,10,4,0.7142857142857143,72.64285714285714,68.35714285714286,4.285714285714286
Charlotte 49ers,1,13,0.07142857142857142,63.714285714285715,73.14285714285714,-9.428571428571429
Tulane Green Wave,6,17,0.2608695652173913,67.65217391304348,77.65217391304348,-10.0
Pacific Tigers,1,14,0.06666666666666667,63.46666666666667,78.66666666666667,-15.2
Denver Pioneers,3,10,0.23076923076923078,72.53846153846153,82.84615384615384,-10.307692307692308
Long Island University Sharks,3,9,0.25,67.83333333333333,80.25,-12.416666666666666
Liberty Flames,5,7,0.4166666666666667,68.5,67.25,1.25
Gardner-Webb Runnin' Bulldogs,3,10,0.23076923076923078,69.53846153846153,74.53846153846153,-5.0
UT Arlington Mavericks,6,7,0.46153846153846156,71.6923076923077,75.0,-3.3076923076923075
Arkansas State Red Wolves,6,5,0.5454545454545454,71.0909090909091,74.9090909090909,-3.8181818181818183
Middle Tennessee Blue Raiders,7,7,0.5,67.57142857142857,71.0,-3.4285714285714284
Cal State Northridge Matadors,3,8,0.2727272727272727,66.81818181818181,68.18181818181819,-1.3636363636363635
UIC Flames,5,4,0.5555555555555556,65.77777777777777,66.66666666666667,-0.8888888888888888
North Texas Mean Green,9,11,0.45,62.9,61.1,1.8
New Mexico State Aggies,9,8,0.5294117647058824,64.23529411764706,64.3529411764706,-0.11764705882352941
Utah Tech Trailblazers,6,10,0.375,73.6875,80.375,-6.6875
Valparaiso Beacons,2,6,0.25,64.375,68.5,-4.125
Charleston Southern Buccaneers,0,6,0.0,63.0,80.66666666666667,-17.666666666666668
Hampton Pirates,3,5,0.375,73.0,81.625,-8.625
High Point Panthers,2,7,0.2222222222222222,64.44444444444444,73.66666666666667,-9.222222222222221
UC San Diego Tritons,3,4,0.42857142857142855,71.0,68.14285714285714,2.857142857142857
Cal State Fullerton Titans,7,9,0.4375,70.3125,70.9375,-0.625
Eastern Washington Eagles,6,6,0.5,68.83333333333333,70.75,-1.9166666666666667
The Citadel Bulldogs,3,6,0.3333333333333333,73.33333333333333,79.33333333333333,-6.0
Florida Atlantic Owls,37,16,0.6981132075471698,77.32075471698113,70.41509433962264,6.90566037735849
North Alabama Lions,5,5,0.5,77.8,77.8,0.0
Western Michigan Broncos,1,10,0.09090909090909091,67.63636363636364,78.45454545454545,-10.818181818181818
